"Callsign","Sysop","Band","TX","Type","Where","Region","IF(secrecy='9',left(locator,4),locator)","lat","lon",
GB7IJC,2E0IJC,2M,144.937500,PX,KILLINGWORTH,NOR,IO95FA,55.03,-1.549,
GB7IOW,M0NVK,40M,7.050000,PX,PORCHFIELD,SW,IO90HR,50.719,-1.37,
GB7IOW,M0NVK,2M,144.950000,PX,PORCHFIELD,SW,IO90HR,50.719,-1.369,
GB7IOW,M0NVK,70CM,439.950000,PX,PORCHFIELD ,SW,IO90,50.7,-1.4,
GB7IPF,G4TNU,2M,144.925000,PX,AMERSHAM,SE,IO91RQ,51.67,-0.557,
GB7JED,GM4UPX,70CM,433.625000,PX,JEDBURGH,SCOT,IO85RL,55.478,-2.555,
GB7JFP,M0JFP,2M,144.937500,PX,STAINES,SE,IO91,51.4,-0.5,
GB7KSE,G7KSE,2M,144.925000,PX,ST BEES,NOR,IO84EL,54.488,-3.588,
GB7LCN,G7RUP,2M,144.950000,PX,LINCOLN,CEN,IO93RE,53.203,-0.549,
GB7LOX,2E0JJI,2M,144.950000,PX,SHEFFIELD,NOR,IO93,53.4,-1.5,
GB7LOX,2E0JJI,40M,7.047460,PX,SHEFFIELD,NOR,IO93,53.4,-1.5,
GB7MBC,G0VGS,2M,144.950000,PX,MORECAMBE,NOR,IO84,54.1,-2.8,
GB7MNK,G0TAI,2M,144.937500,PX,GREAT LINFORD,SE,IO92OB,52.069,-0.75,
GB7MNK,G0TAI,70CM,432.625000,PX,MILTON KEYNES,SE,IO92OB,52.069,-0.75,
GB7MNS,M0THH,2M,144.950000,PX,MANSFIELD,CEN,IO93KD,53.146,-1.163,
GB7MOR,GM4OAS,2M,144.950000,PX,MORAR,SCOT,IO76CX,56.959,-5.828,
GB7MSX,M5MSX,2M,144.950000,PX,GREAT YARMOUTH,EA,JO02,52.6,1.7,
GB7MXM,G4GBA,2M,144.950000,PX,STONHAM ASPAL,EA,JO02,52.2,1.1,
GB7NAS,G7JJF,2M,144.950000,PX,EAKRING,CEN,IO93MD,53.15,-0.994,
GB7NBH,G4OTJ,70CM,439.950000,PX,FARMBOROUGH,SW,IO81,51.3,-2.5,
GB7NBH,G4OTJ,70CM,430.200000,PX,FARMBOROUGH,SW,IO81,51.3,-2.5,
GB7NBH,G4OTJ,2M,144.937500,PX,FARMBOROUGH,SW,IO81,51.3,-2.5,
GB7NBH,G4OTJ,4M,70.337500,PX,FARMBOROUGH,SW,IO81,51.3,-2.5,
GB7NDH,2M0NHD,2M,144.937500,PX,DALGETY BAY,SCOT,IO86HA,56.035,-3.351,
GB7NDH,2M0NHD,70CM,439.950000,PX,DALGETY BAY,SCOT,IO86HA,56.035,-3.351,
GB7NED,G4EKM,2M,144.937500,PX,SUNDERLAND,NOR,IO94GV,54.888,-1.455,
GB7NED,G4EKM,6CM,5675.000000,PX,SUNDERLAND,NOR,IO94GV,54.888,-1.455,
GB7NFZ,M0NFZ,2M,144.950000,PX,WATERLOOVILLE,SW,IO90LV,50.891,-1.025,
GB7NOT,G8BPQ,40M,7.050500,PX,NOTTINGHAM,CEN,IO92KX,52.984,-1.116,
GB7NOT,G8BPQ,2M,144.950000,PX,NOTTINGHAM,CEN,IO92KX,52.984,-1.116,
GB7NPR,M8DBS,2M,144.950000,PX,NORWICH,EA,JO02PQ,52.667,1.276,
GB7NRT,GM0NRT,70CM,432.625000,PX,ABERDEEN,SCOT,IO87WD,57.133,-2.123,
GB7NUL,M8VGU,2M,144.950000,PX,HARSTON,EA,JO02,52.1,0.1,
GB7NWD,G4WQG,70CM,439.900000,PX,RAMSBURY,SW,IO91,51.4,-1.6,
GB7NWD,G4WQG,2M,144.950000,PX,RAMSBURY,SW,IO91,51.4,-1.6,
GB7NWD,G4WQG,70CM,432.675000,PX,RAMSBURY,SW,IO91,51.4,-1.6,
GB7NXT,MW0NXT,2M,144.937500,PX,WENVOE,WM,IO81IK,51.44,-3.262,
GB7NXT,MW0NXT,70CM,430.200000,PX,WENVOE,WM,IO81IK,51.44,-3.262,
GB7ODZ,M0ODZ,2M,144.937500,PX,HOUGHTON LE SPRING,NOR,IO94GT,54.809,-1.439,
GB7OSW,G0BMH,2M,144.950000,PX,OSWALDTWISTLE,NOR,IO83,53.7,-2.4,
GB7OSW,G0BMH,20M,14.102300,PX,OSWALDTWISTLE,NOR,IO83,53.7,-2.4,
GB7OXF,G6FJI,70CM,432.675000,PX,ABINGDON,SW,IO91IQ,51.68,-1.278,
GB7OXF,G6FJI,2M,144.950000,PX,ABINGDON,SW,IO91IQ,51.68,-1.278,
GB7OXF,G6FJI,40M,7.050100,PX,ABINGDON,SW,IO91IQ,51.681,-1.278,
GB7PAK,G7SOJ,4M,70.487500,PX,WEMBWORTHY,SW,IO80,50.9,-3.9,
GB7PKT,M8LSR,2M,144.950000,PX,NORTH WALSHAM,EA,JO02QT,52.82,1.4,
GB7PTT,MM1PTT,2M,144.937500,PX,GLASGOW,SCOT,IO75VV,55.911,-4.197,
GB7RDG,M0LTE,6M,50.660000,PX,READING,SW,IO91LK,51.447,-1.027,
GB7RDG,M0LTE,40M,7.051500,PX,READING,SW,IO91LK,51.447,-1.027,
GB7RDG,M0LTE,2M,144.937500,PX,READING,SW,IO91LK,51.447,-1.027,
GB7RDG,M0LTE,70CM,432.625000,PX,READING,SW,IO91LK,51.447,-1.027,
GB7RJJ,MM0RJJ,2M,144.937500,PX,ALYTH,SCOT,IO86JP,56.634,-3.204,
